"Code
(PHN/LGA)","Name
(PHN/LGA)",%mental,"mental admission/100,000(18-19)",%poor SA-heath,%psycho,%high BP,%overweight,%smoker,%alcohol,%exercise,"self-harm rate/100,000","IMR/1,000",%HSV,%asthma,%COPD,%arthritis,%osteoporosis
PHN101,Central and Eastern Sydney,17.5,516.80,12.4,10.4,22.8,35.3,12.3,14.3,62,8.5,3,4.4,8.2,2,12.5,4.6
11100,Botany Bay (C),16,469.10,13.6,10.8,23.2,35.3,14.6,11.3,68.4,9.6,3.6,4.8,7.6,2,12.3,3.3
11300,Burwood (A),15.5,503.90,12.3,11.1,23.9,34.5,12.3,10.1,66.7,7.9,3.3,4.6,6.9,1.8,12.2,5.2
11520,Canada Bay (A),16.9,510.60,10.7,8.6,23,35.2,9.9,13.8,60,6.8,2.2,4.6,7.2,1.6,12.4,4.8
11570a,Canterbury-Bankstown (A) - part a,15.2,670.00,18.8,15.4,23.3,34.6,15,9.1,73.6,7.1,2.5,5,8.6,2,15,4.8
12930,Georges River (A),13.7,488.70,12.1,11.1,23.5,35.4,12.1,12.3,65.3,6.8,1.9,4.6,7,1.8,12.4,5.7
14170,Inner West (A),20.4,514.40,12.6,10.7,22.5,34.7,12.1,15.6,59.3,9.4,1.9,4.4,8.5,2.3,11.4,4.6
16550,Randwick (C),18,509.40,12.7,9.9,23,35.3,12.1,14.9,60.7,8.5,3.1,4.3,9.8,2.2,12.2,4.3
16650,Rockdale (C),14.3,601.90,13,11.6,23.5,36.3,14,9.9,69.5,6,3.9,4.6,6.5,1.9,12,4.7
17100,Strathfield (A),14,454.80,12.5,11.2,23.8,37.3,15.3,5.5,71.1,6.6,3.7,4.3,7.6,1.7,10.6,4.8
17150,Sutherland Shire (A),18.6,606.50,10.2,9.1,21.6,36.8,10.5,19.2,60.2,8.6,2.2,4.6,11,2,14.3,4
17200,Sydney (C),20.1,429.80,13,10.1,23.1,33.7,13.5,15.3,57.9,12.5,2.5,4.1,7.2,2.4,11,4.2
18050,Waverley (A),19.1,399.30,10.3,8.7,22.8,36.4,9.5,19.8,51.3,8,1.4,3.8,8,2,12.2,4.2
18500,Woollahra (A),19.4,345.40,8.9,8.2,21.5,36.3,8.3,20.7,47.9,10.4,2.2,3.3,8,1.5,11.9,3.9
19399a,Unincorporated NSW - part a,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..
PHN102,Northern Sydney,15.7,417.70,9.2,8.9,22.2,36.3,7.9,16.6,55,7.3,2.2,4.1,8.5,1.5,12.1,4.2
14000,Hornsby (A),15.4,414.20,9.3,9.7,22.2,36.6,7.8,13.2,62,7.9,2.8,4.3,8.9,1.6,13.8,4.1
14100,Hunters Hill (A),19.2,448.60,10.1,8.9,20.9,36.1,8.5,18.7,54.5,12.5,0,4,8.4,1.2,13.3,4.3
14500,Ku-ring-gai (A),14.3,310.70,7.8,8,22,37.5,5.1,15.8,49.1,6.5,1.6,3.9,9.4,1.1,12.1,4.3
14700,Lane Cove (A),14.8,451.10,8.7,8.2,22.4,35.6,7.6,14.8,53,6.5,3.8,3.8,8.1,1.4,10.7,4.3
15350,Mosman (A),15.5,492.70,8.3,7.5,22.2,36.1,6.9,19.8,41.7,11.9,..,3.4,9.7,1.3,10.1,4.9
15950,North Sydney (A),17.6,479.50,9.2,7.6,22,36.2,7.9,19.8,49.3,8,1.2,3.6,8.4,1.5,10.1,4.5
