"Code
(PHN/LGA)","Name
(PHN/LGA)","Adimissions for mental health related conditions, Persons - All hospitals 2016/17 Asr Per 100,000",% labour force participation,% private dwellings where Internet accessed,% persons living in crowded dwellings,Total fertility rate,"% Permanent migrants under the Family stream visa
(total)",Aboriginal population as proportion of total population (%),% households in dwellings receiving rent assistance,% persons living in social housing,% mortgage stress,% rental stress,% Low income households,% people receiving an unemployment benefit,% disability support pensioners,% unemployed
PHN101,Central and Eastern Sydney,#N/A,69.6,85.8,13.4,1.51,4.6,1.1,11.8,3.2,8.5,22.4,31.9,3.9,2.5,3.2
11100,Botany Bay (C),1773.5,67.6,81.9,17.3,1.52,5.2,2.1,13.2,5.7,9.8,25.2,36.2,4.6,2.9,3.1
11300,Burwood (A),2154.1,62.9,84.1,21.7,1.12,6.4,0.5,13.9,2.4,13.8,33.2,39.5,3.8,2.2,3.8
11520,Canada Bay (A),2673.3,68.9,87.5,10.7,1.48,4.2,0.6,7.4,1.8,8.7,20.1,27,2.6,1.7,2
11570a,Canterbury-Bankstown (A) - part a,#N/A,59.2,79.7,19.4,2.04,7.4,0.9,22.5,6,17.2,39,48.4,7.8,4.4,7
12930,Georges River (A),1562.3,63.9,85.4,14.8,1.47,6.9,0.6,13.2,2.1,12.8,29.4,36.8,4.2,2.4,3.1
14170,Inner West (A),2840.4,76,86.8,10.8,1.32,4,1.4,13.6,2.7,4.7,16.8,23.7,4.4,2.7,3.7
16550,Randwick (C),2046.3,66.5,85.5,11.6,1.37,3.4,1.9,9.6,4.7,5.6,22.1,28.8,2.9,2.4,4.7
16650,Rockdale (C),1423.3,67.6,82.3,17.7,1.52,5.5,0.8,14.4,1.7,12.3,26.2,36.5,4.7,2.9,3.1
17100,Strathfield (A),1746.6,69.7,86.5,20.5,1.34,6.8,0.3,14.1,2.7,13.6,26.8,33.5,3.6,1.7,3.1
17150,Sutherland Shire (A),1892.7,67.5,87.8,4.3,1.82,2.1,1.3,7.8,1.8,5.9,20.6,27.2,2.9,2.3,2
17200,Sydney (C),2149.5,76.8,87.1,18.9,0.91,4.3,1.6,11,7,7.3,20.1,24.8,3.6,2.5,2.5
18050,Waverley (A),2255.3,77.6,88.5,8.5,1.4,3.7,0.5,7.2,1.2,4.5,12.2,18.8,2.6,1.5,2.8
18500,Woollahra (A),2598.3,71.6,90.7,4.5,1.36,2.9,0.4,7,0.3,3.9,10.6,15.3,2.1,0.9,1.9
19399a,Unincorporated NSW - part a,#N/A,68.5,81.3,5.5,..,0.7,4.9,17,2.4,12.5,5.3,33.1,5.1,3.9,2.2
PHN102,Northern Sydney,#N/A,71.1,90.3,6.7,1.52,4.1,0.4,9,1.2,6.3,16.8,24.5,2.4,1.6,3.1
14000,Hornsby (A),1999.7,71.9,90.8,5.8,1.61,4.3,0.5,10.1,1.3,7,21.9,26.5,2.7,2.2,4.6
14100,Hunters Hill (A),3519.8,67.3,88.5,3.4,1.57,2.1,0.7,12.3,3.6,4.8,21.7,22.7,1.9,2.6,2.8
14500,Ku-ring-gai (A),1996.1,66,93.1,3.6,1.43,3.8,0.2,4.8,0.3,6.6,15.6,20.9,1.7,0.9,2.4
14700,Lane Cove (A),2465.9,70.7,91.7,6.2,1.58,4.1,0.4,7.7,1,4.4,12.5,18,2,1.2,2.7
15350,Mosman (A),2538.3,69.6,91.1,3.9,1.45,3.2,0.3,5.6,0.4,3.7,12.9,16.3,1.7,1,2.3
15950,North Sydney (A),2096.1,79.2,91.5,6.9,1.31,4,0.3,7.8,1.1,4.4,8.5,14.6,2,1.1,2.6
15990,Northern Beaches (A),2251.3,71.3,89.1,5.7,1.68,3.2,0.6,8.2,1,5.2,15.1,23.4,2.4,1.7,2.4
16260a,Parramatta (C) - part a,#N/A,68.2,87.6,13.2,1.56,6.7,0.9,14.4,3.8,11.5,23.7,32,4.3,2.5,4
16700,Ryde (C),2428.9,71.3,87.4,10.9,1.34,5.7,0.4,15.2,2.6,9.2,24.8,31.2,3.3,2.3,4
18250,Willoughby (C),2274.8,72.9,91.1,11.1,1.3,4.8,0.2,8.2,1.1,6.9,18,23.7,2.1,1.2,3.5
PHN103,Western Sydney,#N/A,68.8,86,13.7,1.95,6.2,1.7,17.7,4.6,11.5,28.3,38.1,5.7,3.4,5.1
10750,Blacktown (C),1858.6,70.5,84.8,12.1,2.08,5.6,3.4,20.2,6.7,10.7,28.6,37.9,6.7,4,5.1
12380,Cumberland (A),2143.2,62,81.1,23.9,2.07,8.4,0.8,23.8,4.9,17.4,36.1,47.4,7.5,4.4,8.2
16260b,Parramatta (C) - part b,#N/A,68.2,87.6,13.2,1.56,6.7,0.9,14.4,3.8,11.5,23.7,32,4.3,2.5,4
17420,The Hills Shire (A),2146.2,74.6,93.2,3.6,1.6,3.8,0.6,8.8,0.4,7.8,18.9,24.3,2.5,1.5,2.7
PHN104,Nepean Blue Mountains,#N/A,66.4,84.2,6,2.01,1.8,4.2,18.9,3.1,8.4,30.3,37.8,6.1,4.6,3.7
10900,Blue Mountains (C),3099.5,62.2,87.6,3.3,1.88,1.4,2.8,13.9,1.6,7.6,35.3,36,5.1,4.7,2.8
13800,Hawkesbury (C),3066.7,72.2,84.2,5.4,2.03,0.9,4.4,17,3,8.2,29.5,33.4,5.1,3.9,4.7
14870,Lithgow (C),2247.8,57.3,71.8,5.1,1.91,0.8,7.1,18.3,5.3,8.5,37.2,49.7,8.9,9.2,7.2
16350,Penrith (C),2276.9,67.1,84.3,7.4,2.01,2.3,4.7,21.8,3.6,8.8,28.5,34.7,6.5,4.4,3.5
PHN105,South Western Sydney,#N/A,61.3,81.8,13.7,2.06,5.3,2.1,25.5,5.9,14.5,36.4,46.6,8.2,4.9,6.1
11450,Camden (A),1623.4,70.5,88.8,3.7,2.26,1.8,2.9,19.3,1.2,7.7,24.1,27.8,4,2.5,2.2
11500,Campbelltown (C),2087.9,64.7,82.5,10.7,2.08,4.1,4.5,21.9,9.5,13.3,30.5,41.8,8.4,5.6,6.2
11570b,Canterbury-Bankstown (A) - part b,#N/A,59.2,79.7,19.4,2.04,7.4,0.9,22.5,6,17.2,39,48.4,7.8,4.4,7
12850,Fairfield (C),1274.3,55.6,78,21.6,1.75,7.8,0.9,38.3,6.1,21,44.5,55.3,12.1,6,9.2
14900,Liverpool (C),1338.6,64.5,82.4,12.9,2.08,5.4,1.8,27.4,5.5,15.5,35.3,42.3,8.2,4.9,5
18350,Wingecarribee (A),1752.5,51.6,84.3,3.8,2.11,1.1,2.3,13.6,2.4,9.2,31.5,39.2,3.9,5,2.1
18400,Wollondilly (A),1642.5,68.9,86,4.3,2.15,0.8,3.8,13.9,0.9,7.5,29.7,32.1,3.9,3,2.5
